course_id;nivel
187380000000000323;IV
187380000000000325;IV
187380000000000326;I
187380000000000327;IV
187380000000000328;I
187380000000000330;1
187380000000000331;I
187380000000000332;I
187380000000000335;1
187380000000000337;1
187380000000000338;1
187380000000000341;II
187380000000000343;II
187380000000000344;4
187380000000000345;2
187380000000000346;II
187380000000000349;II
187380000000000350;2
187380000000000351;4
187380000000000353;2
187380000000000354;4
187380000000000355;III
187380000000000356;2
187380000000000357;4
187380000000000362;III
187380000000000364;III
187380000000000365;3
187380000000000366;5
187380000000000367;III
187380000000000370;III
187380000000000371;5
187380000000000372;III
187380000000000373;3
187380000000000374;5
187380000000000376;3
187380000000000377;5
187380000000000379;5
187380000000000380;IV
187380000000000381;3
187380000000000386;6
187380000000000389;6
187380000000000390;6
187380000000000391;6
187380000000000392;6
187380000000000395;7
187380000000000396;7
187380000000000397;7
187380000000000399;7
187380000000000400;7
187380000000000403;8
187380000000000405;8
187380000000000406;8
187380000000000407;8
187380000000000408;8
187380000000000411;IV
187380000000000412;IV
187380000000000413;IV
187380000000000415;IV
187380000000000416;IV
187380000000000417;IV
187380000000000418;IV
187380000000000419;IV
187380000000000420;I
187380000000000422;I
187380000000000424;I
187380000000000425;III
187380000000000430;I
187380000000000431;III
187380000000000432;III
187380000000000433;I
187380000000000434;III
187380000000000435;I
187380000000000436;III
187380000000000437;III
187380000000000438;I
187380000000000439;III
187380000000000440;I
187380000000000444;III
187380000000000446;III
187380000000000447;I
187380000000000448;III
187380000000000450;II
187380000000000451;III
187380000000000452;II
187380000000000453;II
187380000000000454;III
187380000000000457;III
187380000000000458;II
187380000000000460;II
187380000000000461;III
187380000000000462;II
187380000000000464;II
187380000000000466;II
187380000000000468;IV
187380000000000469;IV
187380000000000471;II
187380000000000472;I
187380000000000473;III
187380000000000474;I
187380000000000475;II
187380000000000476;I
187380000000000477;III
187380000000000478;II
187380000000000480;III
187380000000000483;III
187380000000000485;I
187380000000000486;III
187380000000000488;I
187380000000000490;I
187380000000000492;III
187380000000000493;I
187380000000000494;IV
187380000000000495;I
187380000000000500;IV
187380000000000501;III
187380000000000502;III
187380000000000504;IV
187380000000000505;III
187380000000000507;III
187380000000000508;IV
187380000000000509;III
187380000000000511;III
187380000000000512;IV
187380000000000514;IV
187380000000000515;III
187380000000000516;IV
187380000000000517;III
187380000000000518;IV
187380000000000520;III
187380000000000521;IV
187380000000000522;II
187380000000000523;III
187380000000000524;IV
187380000000000525;II
187380000000000526;III
187380000000000527;IV
187380000000000528;II
187380000000000529;IV
187380000000000530;IV
187380000000000531;IV
187380000000000533;IV
187380000000000535;III
187380000000000536;II
187380000000000537;II
187380000000000539;IV
187380000000000540;III
187380000000000542;IV
187380000000000543;III
187380000000000544;IV
187380000000000546;III
187380000000000547;IV
187380000000000549;IV
187380000000000550;III
187380000000000551;I
187380000000000552;I
187380000000000554;III
187380000000000555;I
187380000000000556;I
187380000000000557;III
187380000000000558;I
187380000000000559;III
187380000000000561;III
187380000000000563;III
187380000000000566;III
187380000000000568;III
187380000000000569;II
187380000000000570;II
187380000000000571;III
187380000000000572;II
187380000000000574;II
187380000000000576;II
187380000000000577;IV
187380000000000580;III
187380000000000581;IV
187380000000000583;IV
187380000000000585;III
187380000000000586;IV
187380000000000587;III
187380000000000589;IV
187380000000000590;IV
187380000000000591;IV
187380000000000593;IV
187380000000000594;III
187380000000000595;IV
187380000000000596;III
187380000000000597;IV
187380000000000598;III
187380000000000599;III
187380000000000600;IV
187380000000000601;III
187380000000000603;IV
187380000000000604;III
187380000000000606;IV
187380000000000607;III
187380000000000608;IV
187380000000000610;III
187380000000000611;IV
187380000000000612;III
187380000000000614;III
187380000000000616;III
187380000000000617;I
187380000000000618;III
187380000000000619;I
187380000000000620;III
187380000000000622;I
187380000000000624;I
187380000000000625;IV
187380000000000626;I
187380000000000629;IV
187380000000000631;IV
187380000000000633;IV
187380000000000639;II
187380000000000640;II
187380000000000641;II
187380000000000642;II
187380000000000643;II
187380000000000646;III
187380000000000648;III
187380000000000649;III
187380000000000650;IV
187380000000000651;III
187380000000000652;IV
187380000000000653;III
187380000000000654;IV
187380000000000655;IV
187380000000000656;I
187380000000000657;I
187380000000000658;I
187380000000000659;II
187380000000000660;II
187380000000000661;II
187380000000000664;IV
187380000000000665;IV
187380000000000666;IV
187380000000000667;I
187380000000000668;I
187380000000000669;I
187380000000000670;II
187380000000000671;II
187380000000000672;II
187380000000000674;IV
187380000000000675;IV
187380000000000676;IV
187380000000000677;I
187380000000000678;I
187380000000000679;I
187380000000000680;II
187380000000000681;II
187380000000000682;II
187380000000000683;IV
187380000000000684;IV
187380000000000942;IV
187380000000000943;IV
187380000000000944;IV
187380000000000945;IV
187380000000000946;IV
187380000000000947;IV
187380000000000948;IV
187380000000000949;IV
187380000000000956;II
187380000000000423;II
187380000000000428;I
187380000000000429;III
187380000000000442;I
187380000000000445;I
187380000000000449;II
187380000000000456;II
187380000000000467;IV